syllable,tone1,tone2,tone3,tone4,tone5,tones_available
hen,hen1,hen2,hen3,hen4,,1|2|3|4
heng,heng1,heng2,,heng4,,1|2|4
hm,,,,,hm5,5
hng,,,,,hng5,5
hong,hong1,hong2,hong3,hong4,,1|2|3|4
hou,hou1,hou2,hou3,hou4,,1|2|3|4
hu,hu1,hu2,hu3,hu4,hu5,1|2|3|4|5
hua,hua1,hua2,,hua4,,1|2|4
huai,,huai2,,huai4,huai5,2|4|5
huan,huan1,huan2,huan3,huan4,,1|2|3|4
huang,huang1,huang2,huang3,huang4,huang5,1|2|3|4|5
hui,hui1,hui2,hui3,hui4,hui5,1|2|3|4|5
hun,hun1,hun2,hun3,hun4,,1|2|3|4
huo,huo1,huo2,huo3,huo4,huo5,1|2|3|4|5
ji,ji1,ji2,ji3,ji4,,1|2|3|4
jia,jia1,jia2,jia3,jia4,jia5,1|2|3|4|5
jian,jian1,,jian3,jian4,jian5,1|3|4|5
jiang,jiang1,,jiang3,jiang4,,1|3|4
jiao,jiao1,jiao2,jiao3,jiao4,jiao5,1|2|3|4|5
jie,jie1,jie2,jie3,jie4,jie5,1|2|3|4|5
jin,jin1,,jin3,jin4,,1|3|4
jing,jing1,,jing3,jing4,jing5,1|3|4|5
jiong,jiong1,,jiong3,jiong4,,1|3|4
jiu,jiu1,jiu2,jiu3,jiu4,jiu5,1|2|3|4|5
ju,ju1,ju2,ju3,ju4,ju5,1|2|3|4|5
juan,juan1,,juan3,juan4,,1|3|4
jue,jue1,jue2,jue3,jue4,,1|2|3|4
jun,jun1,,jun3,jun4,,1|3|4
ka,ka1,,ka3,,,1|3
kai,kai1,,kai3,kai4,,1|3|4
kan,kan1,,kan3,kan4,,1|3|4
kang,kang1,kang2,kang3,kang4,,1|2|3|4
kao,kao1,,kao3,kao4,,1|3|4
ke,ke1,ke2,ke3,ke4,ke5,1|2|3|4|5
kei,kei1,,,,,1
ken,ken1,,ken3,ken4,,1|3|4
keng,keng1,,keng3,,,1|3
kong,kong1,,kong3,kong4,,1|3|4
kou,kou1,,kou3,kou4,,1|3|4
ku,ku1,ku2,ku3,ku4,,1|2|3|4
kua,kua1,,kua3,kua4,,1|3|4
kuai,,,kuai3,kuai4,,3|4
kuan,kuan1,,kuan3,,,1|3
kuang,kuang1,kuang2,kuang3,kuang4,,1|2|3|4
kui,kui1,kui2,kui3,kui4,,1|2|3|4
kun,kun1,,kun3,kun4,kun5,1|3|4|5
kuo,,,,kuo4,,4
la,la1,la2,la3,la4,la5,1|2|3|4|5
lai,,lai2,lai3,lai4,,2|3|4
lan,,lan2,lan3,lan4,,2|3|4
lang,lang1,lang2,lang3,lang4,lang5,1|2|3|4|5
lao,lao1,lao2,lao3,lao4,,1|2|3|4
le,le1,,,le4,le5,1|4|5
lei,lei1,lei2,lei3,lei4,lei5,1|2|3|4|5
len,,,,len4,,4
leng,leng1,leng2,leng3,leng4,,1|2|3|4
li,li1,li2,li3,li4,li5,1|2|3|4|5
lia,,,lia3,,,3
lian,,lian2,lian3,lian4,,2|3|4
liang,,liang2,liang3,liang4,liang5,2|3|4|5
liao,liao1,liao2,liao3,liao4,,1|2|3|4
lie,lie1,lie2,lie3,lie4,lie5,1|2|3|4|5
lin,lin1,lin2,lin3,lin4,,1|2|3|4
ling,ling1,ling2,ling3,ling4,ling5,1|2|3|4|5
liu,liu1,liu2,liu3,liu4,,1|2|3|4
lo,,,,,lo5,5
long,long1,long2,long3,long4,,1|2|3|4
lou,lou1,lou2,lou3,lou4,lou5,1|2|3|4|5
